Id,SalePrice
1823,2357.327083
2529,680.4958924
1820,2367.652386
2099,23540.31194
2758,24587.95538
2892,37001.25793
2757,38624.61573
2219,39943.03833
1914,40930.15524
1790,43351.36558
1916,47383.06157
2399,48717.15241
2782,48779.3212
2894,50198.55945
1603,51430.57354
2220,52368.76435
2889,53872.85882
2872,54076.93749
2554,55605.38925
1567,55607.95659
1900,57936.38429
2020,58367.54814
2871,61040.05219
2792,61729.71288
1815,61766.12508
1556,62561.69987
2096,62629.48999
2067,63845.18245
2806,63891.72155
2893,64922.45058
1601,66003.00716
2102,66906.86889
1848,67240.86425
2605,68598.67307
2800,68825.33537
2217,69576.65583
2913,69920.43546
2579,70090.7332
2089,70958.0115
2578,71308.7938
1857,72878.60995
2788,73607.70244
2482,74056.56906
2129,74246.69531
2916,74329.23761
2707,74611.17162
2755,74909.24194
2914,75518.46244
2911,75574.53059
2097,75902.7095
1544,75978.41348
2100,76235.45598
2553,76310.09193
1616,76759.16096
2136,76778.87793
2103,76918.01847
1962,77797.75959
1838,78550.5492
1531,78885.37477
1898,79210.31852
2491,79521.43759
2791,80150.4972
2021,80270.13255
2602,80358.59399
2065,80559.19909
1788,81317.541
2767,82821.82783
2702,83101.84278
2018,83138.97563
2423,83275.06836
1782,83340.53836
2445,83363.52559
2815,83696.23195
2495,83811.08608
1832,84133.52241
1540,84341.54738
1842,84428.67311
1652,84715.43755
2192,84874.63648
2251,85130.84401
2194,85344.94807
2859,85929.45817
2890,86447.00848
2195,86782.7432
2441,87547.78065
2442,87794.86555
1475,88517.13518
1532,88681.55229
2748,89080.11531
2191,89161.47107
2057,89437.88502
2780,89642.63627
2703,89651.20388
2910,89698.04094
2798,89904.5101
1826,90712.87617
2799,91099.42815
2915,91219.52387
2071,91276.57657
1947,91466.74321
1722,91494.85624
2474,91654.63095
2646,92208.09775
2555,92434.17869
2643,92435.4363
1591,92882.46267
1472,92921.60869
1617,92978.41718
1963,93254.2894
2283,93280.8623
1651,93573.44891
2422,93787.45891
2499,93914.09612
1559,93996.10654
2440,94265.81836
2449,94499.0206
2786,94546.21253
2706,94791.80407
2647,94933.87955
1757,95020.71475
1526,95067.91389
1811,95145.53348
2868,95548.45845
2479,95601.80975
