Id,SalePrice
1461,165564.0342598422
1462,175383.38241110125
1463,186997.77027151836
1464,192441.74323596258
1465,189983.7474508331
1466,184018.31111521195
1467,180578.10313565828
1468,186718.4649637132
1469,183509.27156005474
1470,170525.2321545598
1471,189869.51743675614
1472,166915.6282072462
1473,165738.60383502583
1474,172190.1246722841
1475,172433.88904194397
1476,204304.22333938818
1477,199779.99024469935
1478,200930.1964192767
1479,201272.80112959043
1480,203978.75787471118
1481,203099.2166692149
1482,200552.90150840837
1483,192638.68600264302
1484,196764.6365740276
1485,195980.32463427784
1486,196411.8472896101
1487,203272.94181803107
1488,196737.58321119167
1489,194300.79220442774
1490,194311.3954087552
1491,196626.39874429058
1492,160066.39657499667
1493,180502.1617923306
1494,197505.74765718408
1495,197133.43412701928
1496,195248.4828230699
1497,190196.10908190242
1498,190748.58964956267
1499,186287.8754245191
1500,190849.10263529766
1501,186348.96640033223
1502,194239.90137848738
1503,197773.26087185158
1504,197890.80883652554
1505,193320.99245368422
1506,178043.48240114193
1507,187497.24914105664
1508,179413.58952783654
1509,171343.16779541544
1510,176122.55382077632
1511,178307.15070296486
1512,176201.59295941572
1513,170982.61543966556
1514,170502.5073268686
1515,171208.00868039217
1516,168258.1705981019
1517,179807.7119764427
1518,166202.91896165305
1519,193954.47581294258
1520,173940.45276144883
1521,175142.85787658388
1522,174629.45338940775
1523,165386.8748032765
1524,164715.04223185504
1525,164410.2110819326
1526,166814.84388243165
1527,163331.48550541856
1528,162593.09725085626
1529,170154.3465810692
1530,174608.34601194254
1531,174085.90106040923
1532,163511.48689307325
1533,167513.33863011783
1534,168179.7104878265
1535,171119.75229660262
1536,160385.3016270614
1537,162151.08671991603
1538,172000.4149909222
1539,176892.35982306613
1540,164174.13513529958
1541,167516.4707575431
1542,162748.77191942008
1543,173873.0632106991
1544,160068.36743936327
1545,160589.79993378423
1546,164177.71567867836
1547,164194.8426297815
1548,160363.57239454542
1549,166190.87224802212
1550,163186.84297981704
1551,164767.56786497158
1552,165583.83757167115
1553,176414.08010476484
1554,168643.91739826428
1555,176251.76539326526
1556,166492.78904269065
1557,164254.99980371387
1558,171742.82477000591
1559,166411.72615301315
1560,164041.38478531543
1561,168230.9926551481
1562,174179.05580072603
1563,170761.3372339339
1564,178569.99657101088
1565,172855.3448200659
1566,183970.9079138901
1567,162289.17140255723
1568,196539.82967341665
1569,171437.06597276524
1570,174269.59950874202
1571,165356.5038602543
1572,170389.93499630023
1573,200188.24585778464
1574,168060.17515514148
1575,190669.59572629596
1576,197702.57120356784
1577,194673.52592183335
1578,169905.1095541946
1579,179172.6690327747
1580,188504.45815696087
